Title,Year,Runtime
Kate & Leopold,2001,118
"The Good, the Bad and the Ugly",1966,161
Chitty Chitty Bang Bang,1968,144
Once Upon a Time in the West,1968,165
Willy Wonka & the Chocolate Factory,1971,100
The Other Side of the Wind,2018,122
Immoral Tales,1973,103
Monty Python and the Holy Grail,1975,91
Richard Pryor: Live in Concert,1979,78
Popeye,1980,114
Urban Cowboy,1980,132
Raiders of the Lost Ark,1981,115
The Evil Dead,1981,85
Tootsie,1982,116
Indiana Jones and the Temple of Doom,1984,118
The Natural,1984,138
Back to the Future,1985,116
The Money Pit,1986,91
Bloodsport,1988,92
Hamburger Hill,1987,110
La Bamba,1987,108
Killer Klowns from Outer Space,1988,88
The Naked Gun: From the Files of Police Squad!,1988,85
Back to the Future Part II,1989,108
Indiana Jones and the Last Crusade,1989,127
Back to the Future Part III,1990,118
The Naked Gun 2½: The Smell of Fear,1991,85
The Crying Game,1992,112
The Last Days of Chez Nous,1992,93
Patriot Games,1992,117
Raising Cain,1992,92
Groundhog Day,1993,101
Sliver,1993,107
Above the Rim,1994,96
Ace Ventura: Pet Detective,1994,86
Major League II,1994,105
Ri¢hie Ri¢h,1994,95
GoldenEye,1995,130
Mortal Kombat,1995,101
Outbreak,1995,127
DragonHeart,1996,103
The First Wives Club,1996,103
Jerry Maguire,1996,139
Austin Powers: International Man of Mystery,1997,94
Chasing Amy,1997,113
Event Horizon,1997,96
Kiss the Girls,1997,115
As Good as It Gets,1997,139
Tomorrow Never Dies,1997,119
Deep Impact,1998,120
The Mask of Zorro,1998,136
A Night at the Roxbury,1998,82
Corpse Bride,2005,77
Elizabeth,1998,124
The Matrix,1999,136
The Rugrats Movie,1998,79
The World Is Not Enough,1999,128
Austin Powers: The Spy Who Shagged Me,1999,95
Where the Money Is,2000,89
What Lies Beneath,2000,130
Stuart Little,1999,84
Romeo Must Die,2000,115
Lagaan: Once Upon a Time in India,2001,224
How the Grinch Stole Christmas,2000,104
Bad Boys II,2003,147
Magnolia,1999,188
Minority Report,2002,145
Terminator 3: Rise of the Machines,2003,109
Rugrats in Paris: The Movie,2000,78
Beyond the Mat,1999,102
Blow,2001,124
The Matrix Reloaded,2003,138
The Matrix Revolutions,2003,129
Stuart Little 2,2002,77
40 Days and 40 Nights,2002,96
Y Tu Mamá También,2001,106
Die Another Day,2002,133
Road to Perdition,2002,117
Scary Movie 2,2001,83
Jimmy Neutron: Boy Genius,2001,82
What a Girl Wants,2003,105
Austin Powers in Goldmember,2002,94
The Core,2003,135
Final Destination 2,2003,90
The Cat in the Hat,2003,82
Resident Evil: Apocalypse,2004,94
Melvin Goes to Dinner,2003,83
Martin Lawrence Live: Runteldat,2002,113
Mystic River,2003,138
Rugrats Go Wild,2003,80
The Polar Express,2004,100
Kal Ho Naa Ho,2003,186
Inglourious Basterds,2009,153
Nappily Ever After,2018,98
Soul Plane,2004,86
The Squid and the Whale,2005,81
Swades,2004,210
Charlie and the Chocolate Factory,2005,115
Indiana Jones and the Kingdom of the Crystal Skull,2008,122
Chicken Little,2005,81
Guess Who,2005,105
Kung Fu Hustle,2004,99
The Rum Diary,2011,119
She Hate Me,2004,138
Bee Movie,2007,91
Bolt,2008,96
Sin City,2005,124
Underworld: Evolution,2006,106
Elizabeth: The Golden Age,2007,114
Final Destination 3,2006,93
The Spiderwick Chronicles,2008,96
Jarhead,2005,125
The Stanford Prison Experiment,2015,122
Gridiron Gang,2006,125
The Curious Case of Benjamin Button,2008,166
Trailer Park Boys: The Movie,2006,95
Dinner for Schmucks,2010,114
Failure to Launch,2006,97
Resident Evil: Extinction,2007,94
Terminator Salvation,2009,115
Initial D,2005,107
"Yours, Mine & Ours",2005,88
Scott Pilgrim vs. the World,2010,112
Hancock,2008,92
Jodhaa Akbar,2008,213
Kabhi Alvida Naa Kehna,2006,193
The Pursuit of Happyness,2006,117
The Death of Mr. Lazarescu,2005,153
Nacho Libre,2006,92
Black Snake Moan,2006,116
Freedom Writers,2007,123
There Will Be Blood,2007,158
World Trade Center,2006,129
United 93,2006,111
"Hail, Caesar!",2016,106
Chronicle of an Escape,2006,103
Bon Cop Bad Cop,2006,116
Madagascar: Escape 2 Africa,2008,89
The Croods,2013,98
Oceans,2009,104
The Princess and the Frog,2009,97
Imagine That,2009,107
Dallas Buyers Club,2013,117
The Dirt,2019,107
Carriers,2009,84
The Danish Girl,2015,119
The Love Guru,2008,87
Drillbit Taylor,2008,110
Underworld: Rise of the Lycans,2009,92
The Duchess,2008,110
The Last Airbender,2010,103
The Adventures of Tintin,2011,107
Like Stars on Earth,2007,165
The Knight Before Christmas,2019,92
Zack and Miri Make a Porno,2008,101
The Iron Lady,2011,105
Homecoming: A Film by Beyoncé,2019,137
A Serious Man,2009,106
Atlantics,2019,106
Om Shanti Om,2007,162
Cadillac Records,2008,109
Silver Linings Playbook,2012,122
The Invention of Lying,2009,100
The Pixar Story,2007,88
Cloverfield,2008,85
Yes Man,2008,104
Race to Witch Mountain,2009,98
"Bikram: Yogi, Guru, Predator",2019,86
The Longshots,2008,94
"The Goods: Live Hard, Sell Hard",2009,89
Blue Valentine,2010,112
A Tale of Love and Darkness,2015,95
District 9,2009,112
The Final Destination,2009,82
Dance Flick,2009,83
The Company Men,2010,104
From Paris with Love,2010,92
Moon,2009,97
Ninja Assassin,2009,99
3 Idiots,2009,170
2012,2009,158
Lawless,2012,116
Kill the Messenger,2014,112
Resident Evil: Afterlife,2010,96
Ip Man,2008,106
Get Him to the Greek,2010,109
Same Kind of Different as Me,2017,119
Billu,2009,137
The Tourist,2010,103
Den of Thieves,2018,140
Sex and the City 2,2010,146
The Roommate,2011,91
The Social Network,2010,120
Cats & Dogs: The Revenge of Kitty Galore,2010,82
Raajneeti,2010,163
Kung Fu Panda 2,2011,90
Despicable Me,2010,95
Tinker Tailor Soldier Spy,2011,122
Good People,2014,90
Karthik Calling Karthik,2010,135
Inception,2010,148
Cop Out,2010,107
The Other Guys,2010,107
Shimmer Lake,2017,83
Ip Man 2,2010,108
Revenge of the Green Dragons,2014,94
For Colored Girls,2010,133
Senna,2010,106
Arthur Christmas,2011,97
Big Miracle,2012,107
Dhobi Ghat,2010,100
Guzaarish,2010,126
14 Blades,2010,114
Dream House,2011,84
The Grandmaster,2013,130
Triple Frontier,2019,125
Haywire,2011,93
The Tribes of Palos Verdes,2017,104
The Vatican Tapes,2015,91
Horns,2013,120
W.E.,2011,119
What Happened to Monday,2017,123
Judy Moody and the Not Bummer Summer,2011,91
Country Strong,2010,117
Zindagi Na Milegi Dobara,2011,155
For Greater Glory: The True Story of Cristiada,2012,145
Forks Over Knives,2011,96
War Horse,2011,146
House at the End of the Street,2012,101
Catfish,2010,87
Soul Surfer,2011,112
Jupiter Ascending,2015,127
Murder Mystery,2019,97
Bleed for This,2016,117
Young Adult,2011,94
Shark Night 3D,2011,90
Johnny English Reborn,2011,101
"Love, Rosie",2014,102
My Week with Marilyn,2011,99
The Perks of Being a Wallflower,2012,103
Cut Bank,2014,93
The Sapphires,2012,103
Come Sunday,2018,106
Ek Main Aur Ekk Tu,2012,110
The Spectacular Now,2013,95
Beyond Skyline,2017,106
Barely Lethal,2015,96
No One Killed Jessica,2011,136
Secret in Their Eyes,2015,111
Jersey Boys,2014,134
Killing Them Softly,2012,97
Apollo 18,2011,86
Stonehearst Asylum,2014,112
Jiro Dreams of Sushi,2011,81
I Am Kalam,2010,88
Demonic,2015,83
Aarakshan,2011,164
Django Unchained,2012,165
End of Watch,2012,109
Phantom Boy,2015,84
The Highwaymen,2019,132
Turbo,2013,96
Undefeated,2011,113
The Edge of Seventeen,2016,104
Kodachrome,2017,105
Sinister,2012,110
Monsters: Dark Continent,2014,119
Get Santa,2014,102
Automata,2014,109
Chernobyl Diaries,2012,86
Kevin Hart: Laugh at My Pain,2011,89
Man of Tai Chi,2013,105
USS Indianapolis: Men of Courage,2016,128
Laggies,2014,99
A Glimpse Inside the Mind of Charles Swan III,2012,86
13 Sins,2014,93
Rowdy Rathore,2012,140
Steve Jobs,2015,122
Barfi!,2012,151
Spectral,2016,107
Chennai Express,2013,141
Woody Woodpecker,2017,91
Ginger & Rosa,2012,90
Searching for Sugar Man,2012,86
The Bling Ring,2013,90
Saving Mr. Banks,2013,125
Self/less,2015,117
Maps to the Stars,2014,111
Earth to Echo,2014,91
About Time,2013,123
Inequality for All,2013,89
Skiptrace,2016,107
A Haunted House,2013,86
Wadjda,2012,98
Black Sea,2014,114
"Berlin, I Love You",2019,120
Blue Is the Warmest Color,2013,180
Olympus Has Fallen,2013,119
Reincarnated,2012,96
My Life as a Zucchini,2016,66
PK,2014,153
Mississippi Grind,2015,108
Cutie and the Boxer,2013,82
Blue Ruin,2013,90
2 States,2014,149
Swearnet: The Movie,2014,112
He Never Died,2015,99
Mowgli: Legend of the Jungle,2018,104
The Unknown Known,2013,103
20 Feet from Stardom,2013,91
Mudbound,2017,134
Arjun: The Warrior Prince,2012,96
Goon: Last of the Enforcers,2017,101
The Fundamentals of Caring,2016,97
The Short Game,2013,99
"Extremely Wicked, Shockingly Evil and Vile",2019,110
Blackfish,2013,83
The Cloverfield Paradox,2018,102
Seoul Searching,2015,105
Starred Up,2013,106
Life After Beth,2014,89
Sweet Virginia,2017,93
Sand Castle,2017,113
Hell or High Water,2016,102
Come and Find Me,2016,112
Kevin Hart: Let Me Explain,2013,75
"Crouching Tiger, Hidden Dragon: Sword of Destiny",2016,96
Moonwalkers,2015,107
Bird Box,2018,124
Sinister 2,2015,97
Wish I Was Here,2014,106
Ip Man 3,2015,105
Obvious Child,2014,84
47 Meters Down,2017,89
5 Flights Up,2014,88
A Most Violent Year,2014,125
Dolphin Tale 2,2014,107
The Theory of Everything,2014,123
The Hundred-Foot Journey,2014,122
The Christmas Chronicles,2018,104
The Water Diviner,2014,111
Alone in Berlin,2016,103
He Named Me Malala,2015,88
Suffragette,2015,106
Sierra Burgess Is a Loser,2018,105
Win It All,2017,88
Sleeping with Other People,2015,101
Hasee Toh Phasee,2014,141
Before I Wake,2016,97
Dukhtar,2014,93
Slow West,2015,84
I Am Wrath,2016,92
El Camino Christmas,2017,89
IO,2019,96
Cult of Chucky,2017,91
The Last Face,2016,130
The Autopsy of Jane Doe,2016,86
Trespass Against Us,2016,99
"Game Over, Man!",2018,101
Berlin Syndrome,2017,116
Haider,2014,160
Raees,2017,143
The End of the Tour,2015,106
April and the Extraordinary World,2015,105
Lila & Eve,2015,94
The Hateful Eight,2015,168
The Lobster,2015,119
Orbiter 9,2017,95
Lez Bomb,2018,90
Don Verdean,2015,90
Incredibles 2,2018,118
Jem and the Holograms,2015,118
Rolling Papers,2015,79
Blood Father,2016,88
Morris from America,2016,91
Miss Hokusai,2015,93
Vincent N Roxxy,2016,102
War on Everyone,2016,98
American Honey,2016,163
Bokeh,2017,92
Puerto Ricans in Paris,2015,82
Solo: A Star Wars Story,2018,135
We Are Your Friends,2015,96
The Kissing Booth,2018,105
Cop Car,2015,88
Results,2015,105
The Breadwinner,2017,94
Dean,2016,94
Being AP,2015,103
The Space Between Us,2017,120
The Black Prince,2017,118
Okja,2017,120
Illang: The Wolf Brigade,2018,139
The Bye Bye Man,2017,96
Swiss Army Man,2016,97
Green Room,2015,95
Deep,2017,92
Dil Dhadakne Do,2015,170
Jagga Jasoos,2017,161
Deidra & Laney Rob a Train,2017,92
Avengers: Infinity War,2018,149
Otherhood,2019,100
Mr. Church,2016,104
The Confirmation,2016,101
Stink!,2015,91
Under the Shadow,2016,84
Lady Bloodfight,2016,100
Tau,2018,97
20th Century Women,2016,119
13 Cameras,2015,87
The Lodgers,2017,92
The Ballad of Lefty Brown,2017,111
Arctic Dogs,2019,92
Udta Punjab,2016,148
The Girl with All the Gifts,2016,111
Christopher Robin,2018,104
Shot Caller,2017,121
Spider-Man: Into the Spider-Verse,2018,117
I Am Bolt,2016,107
The Bad Education Movie,2015,90
Kevin Hart: What Now?,2016,96
Love Beats Rhymes,2017,106
The Death of Stalin,2017,107
Klaus,2019,96
The Legacy of a Whitetail Deer Hunter,2018,83
In This Corner of the World,2016,129
The Do-Over,2016,108
How to Be a Latin Lover,2017,115
Mindhorn,2016,89
Time Trap,2017,87
The Most Hated Woman in America,2017,91
Speech & Debate,2017,105
Baahubali 2: The Conclusion,2017,167
XOXO,2016,92
The Invisible Guest,2016,106
First They Killed My Father,2017,136
Kapoor & Sons,2016,132
Azhar,2016,130
Goldstone,2016,110
Mascots,2016,89
Heneral Luna,2015,118
Everybody Knows,2018,133
Await Further Instructions,2018,91
Middle School: The Worst Years of My Life,2016,92
The Titan,2018,97
The Red Sea Diving Resort,2019,129
Change in the Air,2018,94
Mary Poppins Returns,2018,130
Our Souls at Night,2017,103
Kabali,2016,153
Dangal,2016,161
Wildling,2018,92
Ant-Man and the Wasp,2018,118
The Secret Life of Pets 2,2019,86
The Keeping Hours,2017,91
The Discovery,2017,102
Force 2,2016,127
Mean Dreams,2016,108
Jeremiah Tower: The Last Magnificent,2016,103
Kickboxer: Retaliation,2018,110
Hotel Transylvania 3: Summer Vacation,2018,97
Step Sisters,2018,108
Norman Lear: Just Another Version of You,2016,91
The Hurricane Heist,2018,103
Anon,2018,100
Walking Out,2017,95
24 Hours to Live,2017,93
The Motive,2017,112
Kaabil,2017,139
Half Girlfriend,2017,135
Hope Springs Eternal,2018,78
Bright,2017,117
The Nutcracker and the Four Realms,2018,99
My Entire High School Sinking Into the Sea,2016,75
To the Bone,2017,107
A Futile and Stupid Gesture,2018,101
Social Animals,2018,90
ARQ,2016,88
The Florida Project,2017,111
Viking Destiny,2018,91
Goosebumps 2: Haunted Halloween,2018,90
The Little Hours,2017,90
Alex Strangelove,2018,99
God Bless the Broken Road,2018,111
A-X-L,2018,98
The Killing of a Sacred Deer,2017,121
Wheelman,2017,82
When We First Met,2018,97
Burning Sands,2017,96
Fun Mom Dinner,2017,81
Ralph Breaks the Internet,2018,112
Savage Dog,2017,94
The Laundromat,2019,95
I Am Vengeance,2018,92
Sandy Wexler,2017,130
13th,2016,100
Dear Zindagi,2016,151
Amanda Knox,2016,92
Mission Control: The Unsung Heroes of Apollo,2017,101
At First Light,2018,90
The Edge of Democracy,2019,121
Bathtubs Over Broadway,2018,87
American Anarchist,2016,80
First Match,2018,102
The Angry Birds Movie 2,2019,97
The Case for Christ,2017,112
The Night Comes for Us,2018,121
Irreplaceable You,2018,96
6 Balloons,2018,74
The Humanity Bureau,2017,95
The Most Assassinated Woman in the World,2018,102
Angel Has Fallen,2019,121
A Shaun the Sheep Movie: Farmageddon,2019,86
Bullet Head,2017,93
Mr. Roosevelt,2017,90
Calibre,2018,101
Miss Virginia,2019,102
A Ghost Story,2017,92
Mubarakan,2017,156
Acts of Vengeance,2017,87
I Am Mother,2019,113
Casting JonBenet,2017,80
Nobody Speak: Trials of the Free Press,2017,95
Joshua: Teenager vs. Superpower,2017,79
Menashe,2017,82
Poster Boys,2017,128
A Bad Moms Christmas,2017,104
Let It Fall: Los Angeles 1982-1992,2017,144
The Ballad of Buster Scruggs,2018,133
Lu Over the Wall,2017,112
Clive Davis: The Soundtrack of Our Lives,2017,123
Yucatán,2018,129
Close Enemies,2018,111
Blame!,2017,106
Pokémon the Movie: I Choose You!,2017,98
Outlaw King,2018,121
Elisa & Marcela,2019,118
Get Me Roger Stone,2017,92
Ready to Mingle,2019,95
Candy Jar,2018,92
Aiyaary,2018,157
Occupation,2018,119
And Breathe Normally,2018,95
Bad Genius,2017,130
A Gray State,2017,93
LA 92,2017,114
The Week Of,2018,116
Operation Red Sea,2018,142
The World Is Yours,2018,102
Velvet Buzzsaw,2019,113
Next Gen,2018,106
22-Jul,2018,143
Gaga: Five Foot Two,2017,100
The Bill Murray Stories: Life Lessons Learned from a Mythical Man,2018,70
The (Silent) War,2019,121
14 Cameras,2018,90
Conor McGregor: Notorious,2017,90
Lady J,2018,109
The Boy Who Harnessed the Wind,2019,113
All About Nina,2018,97
The Wandering Earth,2019,125
The Open House,2018,94
A Christmas Prince,2017,92
American Circumcision,2017,101
We the Animals,2018,94
Seeing Allred,2018,96
Soorma,2018,131
Big Kill,2018,126
The Perfection,2018,90
Paddleton,2019,89
Someone Great,2019,92
The Rachel Divide,2018,100
The Legend of Cocaine Island,2018,83
Pokémon the Movie: The Power of Us,2018,100
Behind the Curve,2018,96
Wine Country,2019,103
Earthquake Bird,2019,107
Rim of the World,2019,98
The Perfect Date,2019,89
The Platform,2019,94
The Body Remembers When the World Broke Open,2019,105
"Faith, Hope & Love",2019,106
Doom: Annihilation,2019,96
Cam,2018,94
The Two Popes,2019,125
A Fortunate Man,2018,162
Dear Ex,2018,100
Holiday in the Wild,2019,85
A Christmas Prince: The Royal Wedding,2018,92
Mercy Black,2019,88
May the Devil Take You,2018,110
Luka Chuppi,2019,126
The Princess Switch,2018,101
Sextuplets,2019,97
El Camino: A Breaking Bad Movie,2019,122
Tall Girl,2019,101
Between Two Ferns: The Movie,2019,82
Secret Obsession,2019,97
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,2019,142
I Lost My Body,2019,81
Falling Inn Love,2019,98
